ensemble_acc_all,ensemble_coverage,subject,ensemble_acc_confident,threshold,ensemble_name
0.7048611111111112,1.0,1,0.7048611111111112,0.0,Stacking: LDA+SVM (meta-learner)
0.7048611111111112,0.8229166666666666,1,0.7763713080168776,0.55,Stacking: LDA+SVM (meta-learner)
0.7048611111111112,0.7569444444444444,1,0.7798165137614679,0.6,Stacking: LDA+SVM (meta-learner)
0.7048611111111112,0.6111111111111112,1,0.8181818181818182,0.65,Stacking: LDA+SVM (meta-learner)
0.7048611111111112,0.5069444444444444,1,0.8356164383561644,0.7,Stacking: LDA+SVM (meta-learner)
0.7048611111111112,0.375,1,0.8611111111111112,0.75,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,1.0,2,0.5381944444444444,0.0,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,0.3611111111111111,2,0.7692307692307693,0.55,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,0.3298611111111111,2,0.7894736842105263,0.6,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,0.2951388888888889,2,0.788235294117647,0.65,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,0.1840277777777778,2,0.8113207547169812,0.7,Stacking: LDA+SVM (meta-learner)
0.5381944444444444,0.1111111111111111,2,0.8125,0.75,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,1.0,3,0.7395833333333334,0.0,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,0.8784722222222222,3,0.7786561264822134,0.55,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,0.8055555555555556,3,0.8232758620689655,0.6,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,0.6944444444444444,3,0.845,0.65,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,0.5208333333333334,3,0.88,0.7,Stacking: LDA+SVM (meta-learner)
0.7395833333333334,0.3923611111111111,3,0.9292035398230089,0.75,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,1.0,4,0.5208333333333334,0.0,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,0.4270833333333333,4,0.6422764227642277,0.55,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,0.1458333333333333,4,0.6666666666666666,0.6,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,0.0069444444444444,4,1.0,0.65,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,0.0,4,,0.7,Stacking: LDA+SVM (meta-learner)
0.5208333333333334,0.0,4,,0.75,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,1.0,5,0.4097222222222222,0.0,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,0.0520833333333333,5,0.6,0.55,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,0.0034722222222222,5,0.0,0.6,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,0.0,5,,0.65,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,0.0,5,,0.7,Stacking: LDA+SVM (meta-learner)
0.4097222222222222,0.0,5,,0.75,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,1.0,6,0.4756944444444444,0.0,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,0.1875,6,0.6296296296296297,0.55,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,0.0694444444444444,6,0.5,0.6,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,0.0208333333333333,6,0.5,0.65,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,0.0034722222222222,6,0.0,0.7,Stacking: LDA+SVM (meta-learner)
0.4756944444444444,0.0,6,,0.75,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,1.0,7,0.7534722222222222,0.0,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,0.9548611111111112,7,0.7672727272727272,0.55,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,0.9340277777777778,7,0.7769516728624535,0.6,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,0.8611111111111112,7,0.7983870967741935,0.65,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,0.7291666666666666,7,0.8380952380952381,0.7,Stacking: LDA+SVM (meta-learner)
0.7534722222222222,0.4583333333333333,7,0.8484848484848485,0.75,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,1.0,8,0.7638888888888888,0.0,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,0.9131944444444444,8,0.7870722433460076,0.55,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,0.8506944444444444,8,0.8204081632653061,0.6,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,0.7569444444444444,8,0.8394495412844036,0.65,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,0.6666666666666666,8,0.859375,0.7,Stacking: LDA+SVM (meta-learner)
0.7638888888888888,0.5520833333333334,8,0.8616352201257862,0.75,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,1.0,9,0.5776173285198556,0.0,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,0.483754512635379,9,0.6343283582089553,0.55,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,0.3429602888086642,9,0.6105263157894737,0.6,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,0.2274368231046931,9,0.6984126984126984,0.65,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,0.1371841155234657,9,0.8157894736842105,0.7,Stacking: LDA+SVM (meta-learner)
0.5776173285198556,0.0685920577617328,9,0.7368421052631579,0.75,Stacking: LDA+SVM (meta-learner)
